date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:54	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Mar%202025%2023:00:55%20GMT	https://fbht-group.co/robots.txt		(from )
15:00:55	28097/28097	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2020:36:55%20GMT	https://fbht-group.co/tst/	C:/My%20Web%20Sites/pon/fbht-group.co/tst/index.html	(from )
15:01:07	299003/299003	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Mar%202021%2015:37:04%20GMT	https://fbht-group.co/tst/assets/css/style-liberty.css	C:/My%20Web%20Sites/pon/fbht-group.co/tst/assets/css/style-liberty.css	(from https://fbht-group.co/tst/)
15:01:08	4166/4166	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Mar%202021%2015:37:25%20GMT	https://fbht-group.co/tst/assets/images/c1.jpg	C:/My%20Web%20Sites/pon/fbht-group.co/tst/assets/images/c1.jpg	(from https://fbht-group.co/tst/)
15:01:08	29559/29559	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Mar%202021%2015:37:27%20GMT	https://fbht-group.co/tst/assets/images/team4.jpg	C:/My%20Web%20Sites/pon/fbht-group.co/tst/assets/images/team4.jpg	(from https://fbht-group.co/tst/)
15:01:09	692/692	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2015:37:39%20GMT	https://fbht-group.co/tst/assets/js/theme-change.js	C:/My%20Web%20Sites/pon/fbht-group.co/tst/assets/js/theme-change.js	(from https://fbht-group.co/tst/)
15:01:11	268038/268038	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2015:37:53%20GMT	https://fbht-group.co/tst/js/jquery.min.js	C:/My%20Web%20Sites/pon/fbht-group.co/tst/js/jquery.min.js	(from https://fbht-group.co/tst/)
15:01:12	9483/9483	---M-Z	200	added ('OK')	application/javascript	etag:%2264983f82-b59%22	https://cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.3/js/lightbox.min.js	C:/My%20Web%20Sites/pon/cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.3/js/lightbox.min.js	(from https://fbht-group.co/tst/)
15:01:14	2532/2532	---M-Z	200	added ('OK')	text/css	etag:%2264983f82-379%22	https://cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.3/css/lightbox.min.css	C:/My%20Web%20Sites/pon/cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.3/css/lightbox.min.css	(from https://fbht-group.co/tst/)
15:01:15	90057/90057	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2015:37:38%20GMT	https://fbht-group.co/tst/assets/js/owl.carousel.js	C:/My%20Web%20Sites/pon/fbht-group.co/tst/assets/js/owl.carousel.js	(from https://fbht-group.co/tst/)
15:01:15	8833/8833	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2015:37:35%20GMT	https://fbht-group.co/tst/assets/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/pon/fbht-group.co/tst/assets/js/jquery.waypoints.min.js	(from https://fbht-group.co/tst/)
